customer_index,monthly_charges,tenure,segment,churn_probability,actual_churn,clv,retention_cost,action,reason,roi
437,114.05,72,High Value,0.003,0,684.3,100,✅ No Action,Low churn risk — customer is stable,
2280,100.15,8,Low Value,0.9725,0,1602.4,30,💌 Low Priority — Send retention voucher,CLV ($1602.4) > Retention Cost ($30) → ROI = $1572.4,1572.4
2235,78.35,41,High Value,0.0821,0,470.1,100,✅ No Action,Low churn risk — customer is stable,
4460,78.2,18,Low Value,0.4923,0,469.2,30,✅ No Action,Low churn risk — customer is stable,
3761,82.65,72,High Value,0.0017,0,495.9,100,✅ No Action,Low churn risk — customer is stable,
5748,99.85,21,Low Value,0.7252,0,299.55,30,💌 Low Priority — Send retention voucher,CLV ($299.55) > Retention Cost ($30) → ROI = $269.55,269.55
3568,99.15,21,Low Value,0.6217,0,297.45,30,💌 Low Priority — Send retention voucher,CLV ($297.45) > Retention Cost ($30) → ROI = $267.45,267.45
2976,24.1,19,Low Value,0.0824,0,120.5,30,✅ No Action,Low churn risk — customer is stable,
5928,19.75,61,Mid Value,0.0048,0,118.5,60,✅ No Action,Low churn risk — customer is stable,
1639,45.05,17,Low Value,0.4588,1,315.35,30,✅ No Action,Low churn risk — customer is stable,
2079,106.05,70,High Value,0.0987,0,636.3,100,✅ No Action,Low churn risk — customer is stable,
1280,114.85,72,High Value,0.0064,0,689.1,100,✅ No Action,Low churn risk — customer is stable,
667,30.2,49,Low Value,0.1054,0,181.2,30,✅ No Action,Low churn risk — customer is stable,
3524,84.8,11,Low Value,0.7926,1,1102.4,30,💌 Low Priority — Send retention voucher,CLV ($1102.4) > Retention Cost ($30) → ROI = $1072.4,1072.4
5283,48.8,19,Low Value,0.1395,0,244.0,30,✅ No Action,Low churn risk — customer is stable,
485,84.5,72,High Value,0.0353,0,507.0,100,✅ No Action,Low churn risk — customer is stable,
6121,19.5,8,Mid Value,0.0157,0,312.0,60,✅ No Action,Low churn risk — customer is stable,
2136,91.0,15,Low Value,0.5998,0,819.0,30,💌 Low Priority — Send retention voucher,CLV ($819.0) > Retention Cost ($30) → ROI = $789.0,789.0
6501,105.7,67,High Value,0.2541,0,634.2,100,✅ No Action,Low churn risk — customer is stable,
5356,35.4,26,Mid Value,0.0073,0,212.4,60,✅ No Action,Low churn risk — customer is stable,
6529,74.85,2,Low Value,0.7351,1,1646.7,30,💌 Low Priority — Send retention voucher,CLV ($1646.7) > Retention Cost ($30) → ROI = $1616.7,1616.7
1242,28.5,21,Low Value,0.7383,0,85.5,30,💌 Low Priority — Send retention voucher,CLV ($85.5) > Retention Cost ($30) → ROI = $55.5,55.5
1615,20.05,49,Mid Value,0.0144,0,120.3,60,✅ No Action,Low churn risk — customer is stable,
5082,19.8,21,Mid Value,0.0164,0,59.4,60,✅ No Action,Low churn risk — customer is stable,
5389,69.15,51,Low Value,0.1087,0,414.9,30,✅ No Action,Low churn risk — customer is stable,
3985,54.55,16,Low Value,0.0815,0,436.4,30,✅ No Action,Low churn risk — customer is stable,
761,89.25,22,Low Value,0.6209,1,178.5,30,💌 Low Priority — Send retention voucher,CLV ($178.5) > Retention Cost ($30) → ROI = $148.5,148.5
6125,102.25,13,Low Value,0.5652,1,1124.75,30,💌 Low Priority — Send retention voucher,CLV ($1124.75) > Retention Cost ($30) → ROI = $1094.75,1094.75
6053,25.1,43,Mid Value,0.0096,0,150.6,60,✅ No Action,Low churn risk — customer is stable,
5547,89.45,3,Low Value,0.7872,1,1878.45,30,💌 Low Priority — Send retention voucher,CLV ($1878.45) > Retention Cost ($30) → ROI = $1848.45,1848.45
1838,90.05,54,High Value,0.1687,0,540.3,100,✅ No Action,Low churn risk — customer is stable,
6979,24.2,1,Low Value,0.5846,0,556.6,30,💌 Low Priority — Send retention voucher,CLV ($556.6) > Retention Cost ($30) → ROI = $526.6,526.6
4345,20.55,69,Mid Value,0.002,0,123.3,60,✅ No Action,Low churn risk — customer is stable,
3553,23.4,62,Mid Value,0.0027,0,140.4,60,✅ No Action,Low churn risk — customer is stable,
346,90.4,2,Low Value,0.9441,1,1988.8,30,💌 Low Priority — Send retention voucher,CLV ($1988.8) > Retention Cost ($30) → ROI = $1958.8,1958.8
3624,96.1,62,High Value,0.0645,0,576.6,100,✅ No Action,Low churn risk — customer is stable,
950,44.95,2,Low Value,0.5817,1,988.9,30,💌 Low Priority — Send retention voucher,CLV ($988.9) > Retention Cost ($30) → ROI = $958.9,958.9
3707,19.9,69,Mid Value,0.0013,0,119.4,60,✅ No Action,Low churn risk — customer is stable,
6633,74.5,1,Low Value,0.9591,1,1713.5,30,💌 Low Priority — Send retention voucher,CLV ($1713.5) > Retention Cost ($30) → ROI = $1683.5,1683.5
2488,55.25,31,Low Value,0.0337,1,331.5,30,✅ No Action,Low churn risk — customer is stable,
4852,20.3,69,Mid Value,0.0022,0,121.8,60,✅ No Action,Low churn risk — customer is stable,
2519,91.45,2,Low Value,0.9564,0,2011.9,30,💌 Low Priority — Send retention voucher,CLV ($2011.9) > Retention Cost ($30) → ROI = $1981.9,1981.9
5400,70.4,33,Low Value,0.5455,0,422.4,30,💌 Low Priority — Send retention voucher,CLV ($422.4) > Retention Cost ($30) → ROI = $392.4,392.4
1520,19.6,3,Low Value,0.2387,0,411.6,30,✅ No Action,Low churn risk — customer is stable,
3712,65.4,44,High Value,0.2654,0,392.4,100,✅ No Action,Low churn risk — customer is stable,
880,110.1,10,Low Value,0.6839,1,1541.4,30,💌 Low Priority — Send retention voucher,CLV ($1541.4) > Retention Cost ($30) → ROI = $1511.4,1511.4
3510,75.25,8,Low Value,0.816,0,1204.0,30,💌 Low Priority — Send retention voucher,CLV ($1204.0) > Retention Cost ($30) → ROI = $1174.0,1174.0
6114,66.65,8,Low Value,0.1318,0,1066.4,30,✅ No Action,Low churn risk — customer is stable,
3283,20.35,69,Mid Value,0.0024,0,122.1,60,✅ No Action,Low churn risk — customer is stable,
523,75.6,23,Low Value,0.1597,1,75.6,30,✅ No Action,Low churn risk — customer is stable,
1035,25.1,66,Mid Value,0.0013,0,150.6,60,✅ No Action,Low churn risk — customer is stable,
2246,102.45,1,Low Value,0.9742,1,2356.35,30,💌 Low Priority — Send retention voucher,CLV ($2356.35) > Retention Cost ($30) → ROI = $2326.35,2326.35
6140,19.95,3,Low Value,0.2383,0,418.95,30,✅ No Action,Low churn risk — customer is stable,
4030,51.0,5,Low Value,0.4639,0,969.0,30,✅ No Action,Low churn risk — customer is stable,
2255,51.2,1,Low Value,0.537,0,1177.6,30,💌 Low Priority — Send retention voucher,CLV ($1177.6) > Retention Cost ($30) → ROI = $1147.6,1147.6
6304,77.65,9,Low Value,0.8872,1,1164.75,30,💌 Low Priority — Send retention voucher,CLV ($1164.75) > Retention Cost ($30) → ROI = $1134.75,1134.75
5965,63.7,36,High Value,0.0668,0,382.2,100,✅ No Action,Low churn risk — customer is stable,
5614,85.5,68,High Value,0.0175,0,513.0,100,✅ No Action,Low churn risk — customer is stable,
5601,40.9,35,Mid Value,0.0092,0,245.4,60,✅ No Action,Low churn risk — customer is stable,
2466,20.55,60,Mid Value,0.0062,0,123.3,60,✅ No Action,Low churn risk — customer is stable,
4914,74.55,72,High Value,0.0012,0,447.3,100,✅ No Action,Low churn risk — customer is stable,
5086,20.4,45,Mid Value,0.0043,1,122.4,60,✅ No Action,Low churn risk — customer is stable,
888,91.2,37,High Value,0.488,0,547.2,100,✅ No Action,Low churn risk — customer is stable,
123,50.7,7,Low Value,0.1192,0,861.9,30,✅ No Action,Low churn risk — customer is stable,
3408,50.7,4,Low Value,0.2269,1,1014.0,30,✅ No Action,Low churn risk — customer is stable,
3362,54.9,1,Low Value,0.7642,1,1262.7,30,💌 Low Priority — Send retention voucher,CLV ($1262.7) > Retention Cost ($30) → ROI = $1232.7,1232.7
7011,60.4,4,Low Value,0.2904,1,1208.0,30,✅ No Action,Low churn risk — customer is stable,
3158,49.55,18,Low Value,0.1465,1,297.3,30,✅ No Action,Low churn risk — customer is stable,
5968,74.05,12,Low Value,0.5559,1,888.6,30,💌 Low Priority — Send retention voucher,CLV ($888.6) > Retention Cost ($30) → ROI = $858.6,858.6
5300,80.05,1,Low Value,0.7875,1,1841.15,30,💌 Low Priority — Send retention voucher,CLV ($1841.15) > Retention Cost ($30) → ROI = $1811.15,1811.15
4761,25.0,72,Mid Value,0.0006,0,150.0,60,✅ No Action,Low churn risk — customer is stable,
4441,20.25,42,Mid Value,0.0031,0,121.5,60,✅ No Action,Low churn risk — customer is stable,
290,76.1,24,Low Value,0.4684,1,456.6,30,✅ No Action,Low churn risk — customer is stable,
4120,78.95,26,Low Value,0.2488,0,473.7,30,✅ No Action,Low churn risk — customer is stable,
3704,73.0,68,High Value,0.1019,0,438.0,100,✅ No Action,Low churn risk — customer is stable,
1718,19.9,17,Mid Value,0.0271,0,139.3,60,✅ No Action,Low churn risk — customer is stable,
5202,111.1,59,High Value,0.0057,0,666.6,100,✅ No Action,Low churn risk — customer is stable,
1472,74.4,13,Low Value,0.3203,1,818.4,30,✅ No Action,Low churn risk — customer is stable,
3217,20.45,2,Low Value,0.2061,0,449.9,30,✅ No Action,Low churn risk — customer is stable,
4530,19.65,67,Mid Value,0.0127,0,117.9,60,✅ No Action,Low churn risk — customer is stable,
3211,20.05,17,Mid Value,0.0142,0,140.35,60,✅ No Action,Low churn risk — customer is stable,
1016,80.1,71,High Value,0.0028,0,480.6,100,✅ No Action,Low churn risk — customer is stable,
1577,98.6,17,Low Value,0.2155,1,690.2,30,✅ No Action,Low churn risk — customer is stable,
642,89.55,1,Low Value,0.9298,1,2059.65,30,💌 Low Priority — Send retention voucher,CLV ($2059.65) > Retention Cost ($30) → ROI = $2029.65,2029.65
4770,19.7,6,Mid Value,0.0171,0,354.6,60,✅ No Action,Low churn risk — customer is stable,
3856,114.1,61,High Value,0.1675,0,684.6,100,✅ No Action,Low churn risk — customer is stable,
6314,73.85,6,Low Value,0.872,0,1329.3,30,💌 Low Priority — Send retention voucher,CLV ($1329.3) > Retention Cost ($30) → ROI = $1299.3,1299.3
